parcel_id,centroid_lat,centroid_lon,parcel_address,parcel_addr_number,parcel_addr_street,parcel_addr_suffix,land_use,condo_id,condo_unit,market_total_value,acreage,homestead,rental_registration,complex_id
2370004003100,39.1918363265854,-84.51687722599596,5443 GARDEN VIEW LN,5443,GARDEN VIEW,LN,"apartment, 4-19 units",NA,NA,201400,0.555,FALSE,NA,silver_oaks
2380006002590,39.18864527902604,-84.51214702456271,620 DUTCH COLONY DR,620,DUTCH COLONY,DR,metropolitan housing authority,NA,NA,210650,2.6,FALSE,NA,winton_hills_mha
2380006004300,39.19086740696125,-84.51109914452336,5580 GARDENHILL LN,5580,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,371000,0.553,FALSE,NA,silver_oaks
2380006004400,39.191239335314066,-84.5125184569641,5619 GARDENHILL LN,5619,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,169600,0.442,FALSE,NA,silver_oaks
2380006004700,39.19244831512959,-84.51348969455832,5695 GARDENHILL LN,5695,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,97160,0.3,FALSE,NA,silver_oaks
2280003022600,39.18968140164149,-84.56820981149271,5484 BAHAMA TE,5484,BAHAMA,TE,"apartment, 40+ units",NA,NA,376910,1.526,FALSE,NA,bahama
2270006003100,39.1841909525898,-84.56067307065084,4830 HAWAIIAN TE,4830,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4830,12500,0,FALSE,TRUE,hawaiian
2270006003500,39.1841909525898,-84.56067307065084,4838 HAWAIIAN TE,4838,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4838,12500,0,FALSE,TRUE,hawaiian
2270006002800,39.1841909525898,-84.56067307065084,4824 HAWAIIAN TE,4824,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4824,12500,0,FALSE,TRUE,hawaiian
2270001009500,39.183413140717676,-84.56715474791572,5152 HAWAIIAN TE,5152,HAWAIIAN,TE,single family dwelling,NA,NA,76900,0.166,FALSE,NA,hawaiian
